;variable;value
0;mu1;0.30139774
1;mu1;0.29539984
2;mu1;0.29588586
3;mu1;0.3020506
4;mu1;0.29980665
5;mu1;0.2964683
6;mu1;0.2951642
7;mu1;0.2910227
8;mu1;0.2995184
9;mu1;0.3030367
10;mu1;0.3139596
11;mu1;0.2928143
12;mu1;0.30290797
13;mu1;0.30017042
14;mu1;0.28984642
15;mu1;0.29526258
16;mu1;0.30497086
17;mu1;0.29262635
18;mu1;0.29636294
19;mu1;0.30104035
20;mu1;0.30075544
21;mu1;0.3013311
22;mu1;0.29387143
23;mu1;0.28869468
24;mu1;0.2999526
25;mu1;0.30622682
26;mu1;0.29317033
27;mu1;0.30440414
28;mu1;0.2962877
29;mu1;0.30742824
30;mu1;0.31109017
31;mu1;0.30231643
32;mu1;0.3115835
33;mu1;0.30549872
34;mu1;0.30240983
35;mu1;0.30776453
36;mu1;0.2925708
37;mu1;0.2965939
38;mu1;0.29861903
39;mu1;0.29805344
40;mu1;0.29133937
41;mu1;0.29945058
42;mu1;0.30609864
43;mu1;0.30924115
44;mu1;0.30423754
45;mu1;0.30459225
46;mu1;0.2922448
47;mu1;0.2992
48;mu1;0.3065773
49;mu1;0.2971659
50;mu2;90.350876
51;mu2;90.593216
52;mu2;91.5855
53;mu2;89.83946
54;mu2;90.7791
55;mu2;90.00158
56;mu2;90.42236
57;mu2;89.78784
58;mu2;90.66281
59;mu2;89.72297
60;mu2;90.376816
61;mu2;89.62609
62;mu2;89.99742
63;mu2;89.855545
64;mu2;89.48949
65;mu2;90.29495
66;mu2;90.31423
67;mu2;90.40709
68;mu2;90.62102
69;mu2;89.49455
70;mu2;89.85448
71;mu2;90.81422
72;mu2;89.91224
73;mu2;89.50292
74;mu2;89.831764
75;mu2;90.58329
76;mu2;89.84144
77;mu2;89.68867
78;mu2;90.26302
79;mu2;90.6882
80;mu2;90.70833
81;mu2;90.62448
82;mu2;90.185524
83;mu2;90.4315
84;mu2;90.269966
85;mu2;89.98965
86;mu2;89.9695
87;mu2;89.53229
88;mu2;89.04062
89;mu2;89.30084
90;mu2;90.04429
91;mu2;89.94545
92;mu2;90.04841
93;mu2;89.31989
94;mu2;89.215225
95;mu2;90.232376
96;mu2;90.39022
97;mu2;90.5162
98;mu2;88.98858
99;mu2;89.238235
100;mu3;7.181265
101;mu3;7.5366898
102;mu3;7.811434
103;mu3;7.6612782
104;mu3;7.4006677
105;mu3;7.255374
106;mu3;7.3039255
107;mu3;7.422928
108;mu3;7.615931
109;mu3;7.3400164
110;mu3;7.4230967
111;mu3;7.64636
112;mu3;7.4473276
113;mu3;7.7399073
114;mu3;7.4112167
115;mu3;7.412476
116;mu3;7.6753836
117;mu3;7.33329
118;mu3;7.3567476
119;mu3;7.7185965
120;mu3;7.336354
121;mu3;7.782497
122;mu3;7.3334923
123;mu3;7.4346304
124;mu3;7.459364
125;mu3;7.468149
126;mu3;7.463867
127;mu3;7.696848
128;mu3;7.4543715
129;mu3;7.622658
130;mu3;7.6493416
131;mu3;7.316621
132;mu3;7.7256594
133;mu3;7.6903195
134;mu3;7.685847
135;mu3;7.580185
136;mu3;7.5838175
137;mu3;7.415802
138;mu3;7.5919576
139;mu3;7.3998265
140;mu3;7.2285233
141;mu3;7.29622
142;mu3;7.955678
143;mu3;7.3621483
144;mu3;7.617016
145;mu3;7.7551956
146;mu3;7.5412126
147;mu3;7.6419787
148;mu3;7.412921
149;mu3;7.5191917
150;gamma2_1;0.0023079664
151;gamma2_1;0.0031293598
