;variable;value
0;mu1;0.30105025
1;mu1;0.2954559
2;mu1;0.2958037
3;mu1;0.30211094
4;mu1;0.29951265
5;mu1;0.29672244
6;mu1;0.29563662
7;mu1;0.29110876
8;mu1;0.29950985
9;mu1;0.3035173
10;mu1;0.31359679
11;mu1;0.29287428
12;mu1;0.30302048
13;mu1;0.30082816
14;mu1;0.2905416
15;mu1;0.2950252
16;mu1;0.305533
17;mu1;0.29270202
18;mu1;0.2973098
19;mu1;0.3009983
20;mu1;0.3003396
21;mu1;0.30166584
22;mu1;0.2944668
23;mu1;0.2885959
24;mu1;0.29984328
25;mu1;0.3065866
26;mu1;0.29325354
27;mu1;0.30370942
28;mu1;0.2963247
29;mu1;0.3075174
30;mu1;0.31151763
31;mu1;0.3019544
32;mu1;0.31117654
33;mu1;0.30567482
34;mu1;0.30222577
35;mu1;0.30766606
36;mu1;0.29219967
37;mu1;0.29624
38;mu1;0.2985141
39;mu1;0.29899484
40;mu1;0.2918495
41;mu1;0.29991755
42;mu1;0.3064682
43;mu1;0.30942374
44;mu1;0.30463773
45;mu1;0.30489656
46;mu1;0.29252592
47;mu1;0.2994418
48;mu1;0.30659294
49;mu1;0.29779914
50;mu2;90.32771
51;mu2;90.59274
52;mu2;91.6229
53;mu2;89.823494
54;mu2;90.71298
55;mu2;89.9554
56;mu2;90.441986
57;mu2;89.78526
58;mu2;90.6597
59;mu2;89.73187
60;mu2;90.34417
61;mu2;89.629
62;mu2;90.03452
63;mu2;89.94667
64;mu2;89.58752
65;mu2;90.24052
66;mu2;90.38229
67;mu2;90.42052
68;mu2;90.76327
69;mu2;89.46985
70;mu2;89.79119
71;mu2;90.86641
72;mu2;90.034225
73;mu2;89.50899
74;mu2;89.80476
75;mu2;90.617615
76;mu2;89.85174
77;mu2;89.58277
78;mu2;90.27336
79;mu2;90.64501
80;mu2;90.758095
81;mu2;90.62911
82;mu2;90.14024
83;mu2;90.44214
84;mu2;90.24379
85;mu2;89.96613
86;mu2;89.94949
87;mu2;89.540276
88;mu2;89.04725
89;mu2;89.33163
90;mu2;90.06061
91;mu2;90.034065
92;mu2;90.09382
93;mu2;89.391014
94;mu2;89.2273
95;mu2;90.25755
96;mu2;90.41534
97;mu2;90.56168
98;mu2;88.99736
99;mu2;89.343575
100;mu3;7.1672745
101;mu3;7.533829
102;mu3;7.8170414
103;mu3;7.665813
104;mu3;7.389039
105;mu3;7.2629166
106;mu3;7.3274713
107;mu3;7.4198275
108;mu3;7.6265264
109;mu3;7.365701
110;mu3;7.4036493
111;mu3;7.645401
112;mu3;7.470294
113;mu3;7.77759
114;mu3;7.4551086
115;mu3;7.406225
116;mu3;7.7031856
117;mu3;7.3313265
118;mu3;7.4001074
119;mu3;7.7152963
120;mu3;7.317326
121;mu3;7.804151
122;mu3;7.369017
123;mu3;7.423683
124;mu3;7.447
125;mu3;7.4825435
126;mu3;7.4675837
127;mu3;7.6627398
128;mu3;7.451065
129;mu3;7.6225495
130;mu3;7.68131
131;mu3;7.2857437
132;mu3;7.6912003
133;mu3;7.702856
134;mu3;7.676201
135;mu3;7.5791216
136;mu3;7.567591
137;mu3;7.3998427
138;mu3;7.585122
139;mu3;7.4617805
140;mu3;7.2419505
141;mu3;7.31752
142;mu3;7.974639
143;mu3;7.3738995
144;mu3;7.6334043
145;mu3;7.769059
146;mu3;7.5544314
147;mu3;7.654047
148;mu3;7.4130707
149;mu3;7.5674286
150;gamma2_1;0.002287901
151;gamma2_1;0.003114249
152;gamma2_1;0.0028673245
153;gamma2_1;0.001992599
154;gamma2_1;0.0031881533
155;gamma2_1;0.002283709
156;gamma2_1;0.0020757706
157;gamma2_1;0.0037766215
158;gamma2_1;0.0027445557
159;gamma2_1;0.0030232477
160;gamma2_1;0.0021447856
161;gamma2_1;0.002309071
162;gamma2_1;0.0028399946
163;gamma2_1;0.0028550597
164;gamma2_1;0.002773003
165;gamma2_1;0.0022229152
166;gamma2_1;0.0020006844
167;gamma2_1;0.0019001117
168;gamma2_1;0.0024249714
169;gamma2_1;0.0021182585
170;gamma2_1;0.0024927391
171;gamma2_1;0.0031951775
172;gamma2_1;0.0027489641
173;gamma2_1;0.002531711
174;gamma2_1;0.0030946971
175;gamma2_1;0.0021964805
176;gamma2_1;0.0029451842
177;gamma2_1;0.0019953516
178;gamma2_1;0.0026893036
179;gamma2_1;0.0020478286
180;gamma2_1;0.0024990006
181;gamma2_1;0.0026808311
182;gamma2_1;0.002194781
183;gamma2_1;0.0028420275
184;gamma2_1;0.0028083578
185;gamma2_1;0.0025561042
186;gamma2_1;0.002868524
187;gamma2_1;0.0027501779
188;gamma2_1;0.002226618
189;gamma2_1;0.002552369
190;gamma2_1;0.0023839797
191;gamma2_1;0.0031293815
192;gamma2_1;0.0019228553
193;gamma2_1;0.0027729874
194;gamma2_1;0.0024007508
195;gamma2_1;0.0029448152
196;gamma2_1;0.0024307766
197;gamma2_1;0.001498094
198;gamma2_1;0.002244293
199;gamma2_1;0.0025881561
200;gamma2_2;20.461506
201;gamma2_2;17.298058
202;gamma2_2;20.446144
203;gamma2_2;15.796591
204;gamma2_2;17.147837
205;gamma2_2;16.873018
206;gamma2_2;18.574984
207;gamma2_2;19.382092
208;gamma2_2;19.525402
209;gamma2_2;18.141695
210;gamma2_2;22.341553
211;gamma2_2;14.96665
212;gamma2_2;19.226439
213;gamma2_2;18.025871
214;gamma2_2;22.730219
215;gamma2_2;18.294287
216;gamma2_2;24.18699
217;gamma2_2;30.595871
218;gamma2_2;20.187462
219;gamma2_2;16.721113
220;gamma2_2;23.191448
221;gamma2_2;21.593826
222;gamma2_2;19.381407
223;gamma2_2;24.613152
224;gamma2_2;19.920742
225;gamma2_2;18.148716
226;gamma2_2;17.675125
227;gamma2_2;18.321205
228;gamma2_2;15.502534
229;gamma2_2;26.731567
230;gamma2_2;23.13587
231;gamma2_2;20.637455
232;gamma2_2;16.535002
233;gamma2_2;19.09552
234;gamma2_2;16.006573
235;gamma2_2;25.392801
236;gamma2_2;27.008911
237;gamma2_2;20.12629
238;gamma2_2;22.86866
239;gamma2_2;18.647797
240;gamma2_2;17.064249
241;gamma2_2;19.857925
242;gamma2_2;20.558952
243;gamma2_2;23.955143
244;gamma2_2;21.519949
245;gamma2_2;19.021914
246;gamma2_2;21.329716
247;gamma2_2;16.50513
248;gamma2_2;15.075278
249;gamma2_2;25.670944
250;sigma2;0.0010156992
251;sigma2;0.0010170739
252;sigma2;0.0009803822
253;sigma2;0.00095023564
254;sigma2;0.0010409072
255;sigma2;0.000989105
256;sigma2;0.0009791038
257;sigma2;0.0010555845
258;sigma2;0.000986666
259;sigma2;0.0010392866
260;sigma2;0.001083743
261;sigma2;0.0010434125
262;sigma2;0.0010672318
263;sigma2;0.0009386766
264;sigma2;0.00092493073
265;sigma2;0.0010379284
266;sigma2;0.00097855
267;sigma2;0.0009861717
268;sigma2;0.0010478419
269;sigma2;0.000995921
270;sigma2;0.0009690832
271;sigma2;0.0009572685
272;sigma2;0.0010135119
273;sigma2;0.0010395447
274;sigma2;0.001004265
275;sigma2;0.0010230107
276;sigma2;0.00092619564
277;sigma2;0.000983647
278;sigma2;0.000948302
279;sigma2;0.0010431336
280;sigma2;0.0010186194
281;sigma2;0.0009987155
282;sigma2;0.0010261057
283;sigma2;0.000991357
284;sigma2;0.0010237696
285;sigma2;0.0010299763
286;sigma2;0.0010064136
287;sigma2;0.0010051988
288;sigma2;0.0010283361
289;sigma2;0.00095764786
290;sigma2;0.00095921545
291;sigma2;0.000989231
292;sigma2;0.0010200434
293;sigma2;0.0010527713
294;sigma2;0.0009848885
295;sigma2;0.0009861809
296;sigma2;0.0009948965
297;sigma2;0.0009900021
298;sigma2;0.0009566227
299;sigma2;0.0009918178
300;alpha;5.76345
301;alpha;8.036666
302;alpha;7.621758
303;alpha;7.9590673
304;alpha;9.276155
305;alpha;9.789573
306;alpha;7.2980685
307;alpha;1.4883356
308;alpha;8.247539
309;alpha;6.932571
310;alpha;14.758009
311;alpha;3.2934413
312;alpha;4.3188105
313;alpha;12.252548
314;alpha;13.325081
315;alpha;11.623012
316;alpha;11.158764
317;alpha;11.294145
318;alpha;9.924497
319;alpha;11.4171295
320;alpha;9.352998
321;alpha;5.8675056
322;alpha;10.031879
323;alpha;6.7565346
324;alpha;5.6287546
325;alpha;7.3232975
326;alpha;2.8821702
327;alpha;9.025944
328;alpha;-5.324239
329;alpha;9.535059
330;alpha;7.540316
331;alpha;12.866874
332;alpha;6.6375475
333;alpha;7.300246
334;alpha;9.0031185
335;alpha;6.95702
336;alpha;10.03127
337;alpha;12.278341
338;alpha;6.974135
