;variable;value
0;mu1;
1;mu1;0.29438555
2;mu1;0.29571342
3;mu1;0.30072355
4;mu1;0.3015128
5;mu1;0.29770127
6;mu1;0.29507026
7;mu1;0.28944525
8;mu1;0.2990765
9;mu1;0.3049177
10;mu1;0.3122999
11;mu1;0.2931681
12;mu1;0.30245084
13;mu1;0.30119377
14;mu1;0.29114687
15;mu1;0.29589552
16;mu1;0.30399582
17;mu1;0.29262763
18;mu1;0.29883927
19;mu1;0.2998695
20;mu1;0.30023482
21;mu1;0.29919437
22;mu1;0.29503477
23;mu1;0.2894589
24;mu1;0.29956198
25;mu1;0.3080358
26;mu1;0.29279104
27;mu1;0.30439132
28;mu1;0.2964204
29;mu1;0.30819637
30;mu1;0.30769277
31;mu1;0.3026362
32;mu1;0.31009853
33;mu1;0.30558595
34;mu1;0.30132258
35;mu1;0.30850607
36;mu1;0.29183298
37;mu1;0.29534972
38;mu1;0.29825008
39;mu1;0.2983455
40;mu1;0.29062793
41;mu1;0.30001688
42;mu1;0.30433065
43;mu1;0.31045124
44;mu1;0.30327347
45;mu1;0.30579758
46;mu1;0.29215682
47;mu1;0.29883415
48;mu1;0.30662167
49;mu1;0.29680002
50;mu2;
51;mu2;90.42508
52;mu2;91.435234
53;mu2;89.79756
54;mu2;90.87744
55;mu2;90.0387
56;mu2;90.32557
57;mu2;89.66339
58;mu2;90.6903
59;mu2;89.808586
60;mu2;90.318504
61;mu2;89.61363
62;mu2;90.02861
63;mu2;90.06837
64;mu2;89.57264
65;mu2;90.32128
66;mu2;90.34862
67;mu2;90.37087
68;mu2;90.69741
69;mu2;89.526436
70;mu2;89.912445
71;mu2;90.52604
72;mu2;89.866104
73;mu2;89.6564
74;mu2;89.61749
75;mu2;90.6791
76;mu2;89.96869
77;mu2;89.69958
78;mu2;90.23913
79;mu2;90.50605
80;mu2;90.40755
81;mu2;90.61661
82;mu2;90.01686
83;mu2;90.4352
84;mu2;90.077484
85;mu2;90.14622
86;mu2;89.9382
87;mu2;89.46051
88;mu2;88.98652
89;mu2;89.442764
90;mu2;89.9963
91;mu2;90.0562
92;mu2;89.87442
93;mu2;89.42083
94;mu2;89.21628
95;mu2;90.33927
96;mu2;90.2728
97;mu2;90.52442
98;mu2;88.96071
99;mu2;89.36278
100;mu3;
101;mu3;7.4862576
102;mu3;7.7926326
103;mu3;7.606162
104;mu3;7.475629
105;mu3;7.2870965
106;mu3;7.287571
107;mu3;7.282922
108;mu3;7.609085
109;mu3;7.451713
110;mu3;7.3466015
111;mu3;7.675028
112;mu3;7.4503956
113;mu3;7.7704296
114;mu3;7.454871
115;mu3;7.4025164
116;mu3;7.598775
117;mu3;7.3100414
118;mu3;7.5176616
119;mu3;7.6444426
120;mu3;7.285634
121;mu3;7.6353703
122;mu3;7.385564
123;mu3;7.421684
124;mu3;7.381613
125;mu3;7.5098934
126;mu3;7.3836303
127;mu3;7.6608996
128;mu3;7.465338
129;mu3;7.6952133
130;mu3;7.4926624
131;mu3;7.2972083
132;mu3;7.576408
133;mu3;7.705475
134;mu3;7.639493
135;mu3;7.625448
136;mu3;7.550708
137;mu3;7.3474817
138;mu3;7.5469966
139;mu3;7.4048896
140;mu3;7.191295
141;mu3;7.274101
142;mu3;7.846625
143;mu3;7.445878
144;mu3;7.5143824
145;mu3;7.847717
146;mu3;7.50931
147;mu3;7.5572214
148;mu3;7.3935795
149;mu3;7.526677
150;gamma2_1;
151;gamma2_1;0.0030400455
152;gamma2_1;0.0029705544
153;gamma2_1;0.0018894658
154;gamma2_1;0.0031967827
155;gamma2_1;0.0021419888
156;gamma2_1;0.0020332597
157;gamma2_1;0.0036656125
158;gamma2_1;0.002716184
159;gamma2_1;0.0029286586
160;gamma2_1;0.0022836283
161;gamma2_1;0.0022480532
162;gamma2_1;0.0030685829
163;gamma2_1;0.002894021
164;gamma2_1;0.0027053428
165;gamma2_1;0.002266052
166;gamma2_1;0.001987983
167;gamma2_1;0.0018690551
168;gamma2_1;0.0025667667
169;gamma2_1;0.0020994458
170;gamma2_1;0.002442419
171;gamma2_1;0.0031666486
172;gamma2_1;0.0028149802
173;gamma2_1;0.0025787293
174;gamma2_1;0.003175466
175;gamma2_1;0.0020625943
176;gamma2_1;0.0029709595
177;gamma2_1;0.0019763247
178;gamma2_1;0.002680106
179;gamma2_1;0.0020441443
180;gamma2_1;0.0024787881
181;gamma2_1;0.0025826383
182;gamma2_1;0.0020737958
183;gamma2_1;0.0028441632
184;gamma2_1;0.0028733744
185;gamma2_1;0.0025246239
186;gamma2_1;0.002856646
187;gamma2_1;0.0027545397
188;gamma2_1;0.0022880873
189;gamma2_1;0.0025569873
190;gamma2_1;0.002454428
191;gamma2_1;0.0029967702
192;gamma2_1;0.0019494202
193;gamma2_1;0.0028374903
194;gamma2_1;0.0024310679
195;gamma2_1;0.0030745415
196;gamma2_1;0.0024201842
197;gamma2_1;0.0015409556
198;gamma2_1;0.0023147594
199;gamma2_1;0.002667584
200;gamma2_2;
201;gamma2_2;15.70842
202;gamma2_2;19.71843
203;gamma2_2;14.348229
204;gamma2_2;18.152992
205;gamma2_2;17.534748
206;gamma2_2;16.325317
207;gamma2_2;17.769184
208;gamma2_2;17.730316
209;gamma2_2;17.069023
210;gamma2_2;21.247288
211;gamma2_2;14.267683
212;gamma2_2;19.270153
213;gamma2_2;17.669113
214;gamma2_2;22.210243
215;gamma2_2;19.405987
216;gamma2_2;24.03226
217;gamma2_2;31.520042
218;gamma2_2;20.495087
219;gamma2_2;16.469513
220;gamma2_2;20.548397
221;gamma2_2;20.13793
222;gamma2_2;19.243391
223;gamma2_2;24.06525
224;gamma2_2;17.553741
225;gamma2_2;21.069035
226;gamma2_2;15.782295
227;gamma2_2;17.358873
228;gamma2_2;15.642317
229;gamma2_2;24.364296
230;gamma2_2;20.868782
231;gamma2_2;21.329803
232;gamma2_2;15.17353
233;gamma2_2;19.624369
234;gamma2_2;16.44418
235;gamma2_2;25.263199
236;gamma2_2;21.55961
237;gamma2_2;20.570438
238;gamma2_2;24.373371
239;gamma2_2;18.416992
240;gamma2_2;15.713967
241;gamma2_2;19.433672
242;gamma2_2;20.537018
243;gamma2_2;24.141556
244;gamma2_2;21.518147
245;gamma2_2;19.3319
246;gamma2_2;21.228806
247;gamma2_2;16.017626
248;gamma2_2;16.165173
249;gamma2_2;22.868593
250;sigma2;
251;sigma2;0.001022339
252;sigma2;0.000977438
253;sigma2;0.00095197564
254;sigma2;0.0010424873
255;sigma2;0.0009956963
256;sigma2;0.00097304373
257;sigma2;0.0010615544
258;sigma2;0.0009824592
259;sigma2;0.001047168
260;sigma2;0.0010723596
261;sigma2;0.0010376463
262;sigma2;0.001069996
263;sigma2;0.0009206714
264;sigma2;0.0009315882
265;sigma2;0.0010363389
266;sigma2;0.0009675962
267;sigma2;0.000982457
268;sigma2;0.0010442771
269;sigma2;0.0009997856
270;sigma2;0.0009788327
271;sigma2;0.0009558226
272;sigma2;0.0010177221
273;sigma2;0.0010459193
274;sigma2;0.0010041547
275;sigma2;0.0010223115
276;sigma2;0.0009330073
277;sigma2;0.0009846534
278;sigma2;0.00095974974
279;sigma2;0.0010505724
280;sigma2;0.0010209655
281;sigma2;0.0009958447
282;sigma2;0.0010388942
283;sigma2;0.0009848461
284;sigma2;0.0010334959
285;sigma2;0.001028243
286;sigma2;0.0010152577
287;sigma2;0.001004512
288;sigma2;0.0010236944
289;sigma2;0.00095389545
290;sigma2;0.0009663574
291;sigma2;0.0009865473
292;sigma2;0.001020934
293;sigma2;0.0010463753
294;sigma2;0.0009763634
295;sigma2;0.0009928159
296;sigma2;0.0010017244
297;sigma2;0.0009874754
298;sigma2;0.00096086896
299;sigma2;0.0009887039
300;alpha;
301;alpha;-7.5630083
302;alpha;-7.6970415
303;alpha;-8.440662
304;alpha;-6.64233
305;alpha;-7.6169157
306;alpha;-11.267638
307;alpha;-8.314773
308;alpha;-12.825303
309;alpha;-11.756215
310;alpha;-8.211034
311;alpha;-6.6798773
312;alpha;-16.537643
313;alpha;-11.4629135
314;alpha;-10.365658
315;alpha;-10.617108
316;alpha;-14.88253
317;alpha;-13.865328
318;alpha;-12.83754
319;alpha;-8.65851
320;alpha;-7.3812585
321;alpha;-5.9144826
322;alpha;-16.725424
323;alpha;-14.645571
324;alpha;-8.886829
325;alpha;-12.966587
326;alpha;-11.792766
327;alpha;-9.451856
328;alpha;-9.418227
329;alpha;-6.216989
330;alpha;-4.8734326
331;alpha;-7.2137074
332;alpha;-11.199082
333;alpha;-5.344166
334;alpha;-10.006073
335;alpha;-8.724494
336;alpha;-11.042423
337;alpha;-8.628331
338;alpha;-8.495898
339;alpha;-11.822573
340;alpha;-9.4878845
341;alpha;-13.552962
342;alpha;-12.901766
343;alpha;-8.216341
344;alpha;-9.111337
345;alpha;-5.3205643
