;variable;value
0;mu1;0.30465448
1;mu1;0.29433382
2;mu1;0.29458457
3;mu1;0.29974502
4;mu1;0.30250666
5;mu1;0.29718873
6;mu1;0.29608983
7;mu1;0.29058474
8;mu1;0.29991108
9;mu1;0.30487156
10;mu1;0.31206557
11;mu1;0.2935873
12;mu1;0.30229715
13;mu1;0.30001733
14;mu1;0.29068187
15;mu1;0.29693493
16;mu1;0.30504555
17;mu1;0.29399145
18;mu1;0.29826158
19;mu1;0.29954588
20;mu1;0.3003772
21;mu1;0.29980877
22;mu1;0.29581904
23;mu1;0.29078397
24;mu1;0.29988635
25;mu1;0.30806893
26;mu1;0.2937363
27;mu1;0.30362102
28;mu1;0.29720828
29;mu1;0.3068925
30;mu1;0.31033707
31;mu1;0.30267012
32;mu1;0.31056938
33;mu1;0.30445248
34;mu1;0.3028703
35;mu1;0.30805948
36;mu1;0.29344982
37;mu1;0.29575497
38;mu1;0.29801184
39;mu1;0.2978901
40;mu1;0.29158035
41;mu1;0.30029154
42;mu1;0.3070411
43;mu1;0.31085804
44;mu1;0.30167645
45;mu1;0.30546597
46;mu1;0.29248667
47;mu1;0.2985228
48;mu1;0.30583218
49;mu1;0.29654363
50;mu2;90.61973
51;mu2;90.463295
52;mu2;91.2851
53;mu2;89.54491
54;mu2;90.96237
55;mu2;90.02217
56;mu2;90.47922
57;mu2;89.86649
58;mu2;90.78448
59;mu2;89.74104
60;mu2;90.352684
61;mu2;89.738396
62;mu2;90.06807
63;mu2;90.03248
64;mu2;89.57807
65;mu2;90.533714
66;mu2;90.39518
67;mu2;90.563736
68;mu2;90.64858
69;mu2;89.355286
70;mu2;89.78637
71;mu2;90.49341
72;mu2;89.89127
73;mu2;89.64693
74;mu2;89.69184
75;mu2;90.776184
76;mu2;90.12312
77;mu2;89.670166
78;mu2;90.232216
79;mu2;90.431305
80;mu2;90.60294
81;mu2;90.47101
82;mu2;90.05629
83;mu2;90.31145
84;mu2;90.15299
85;mu2;90.15413
86;mu2;90.10379
87;mu2;89.50798
88;mu2;89.038246
89;mu2;89.39003
90;mu2;90.05635
91;mu2;90.112274
92;mu2;90.09696
93;mu2;89.44471
94;mu2;89.020584
95;mu2;90.38025
96;mu2;90.29685
97;mu2;90.54107
98;mu2;88.80418
99;mu2;89.25198
100;mu3;7.4005995
101;mu3;7.4676156
102;mu3;7.7047434
103;mu3;7.536891
104;mu3;7.5391774
105;mu3;7.2888603
106;mu3;7.334669
107;mu3;7.343066
108;mu3;7.643623
109;mu3;7.4148393
110;mu3;7.3855743
111;mu3;7.7023416
112;mu3;7.457344
113;mu3;7.7069087
114;mu3;7.4715066
115;mu3;7.5155377
116;mu3;7.675232
117;mu3;7.418118
118;mu3;7.474797
119;mu3;7.621166
120;mu3;7.2882895
121;mu3;7.6622047
122;mu3;7.4771137
123;mu3;7.560622
124;mu3;7.441173
125;mu3;7.5659375
126;mu3;7.436299
127;mu3;7.674732
128;mu3;7.5448675
129;mu3;7.618184
130;mu3;7.6066036
131;mu3;7.3192835
132;mu3;7.6568995
133;mu3;7.634339
134;mu3;7.752292
135;mu3;7.603016
136;mu3;7.640502
137;mu3;7.385915
138;mu3;7.527405
139;mu3;7.377652
140;mu3;7.254862
141;mu3;7.3109493
142;mu3;8.009113
143;mu3;7.438195
144;mu3;7.453616
145;mu3;7.8395967
146;mu3;7.5375776
147;mu3;7.5700903
148;mu3;7.354514
149;mu3;7.5114317
150;gamma2_1;0.0023956585
151;gamma2_1;0.0031171849
152;gamma2_1;0.002824315
153;gamma2_1;0.0018749819
154;gamma2_1;0.0032476806
155;gamma2_1;0.0021698389
156;gamma2_1;0.0020401804
157;gamma2_1;0.0036143947
158;gamma2_1;0.0026818337
159;gamma2_1;0.0029242518
160;gamma2_1;0.0023855988
161;gamma2_1;0.0022136164
162;gamma2_1;0.0029604144
163;gamma2_1;0.0028473248
164;gamma2_1;0.0027700628
165;gamma2_1;0.002353045
166;gamma2_1;0.0020076085
167;gamma2_1;0.0018958199
168;gamma2_1;0.002629656
169;gamma2_1;0.0021452673
170;gamma2_1;0.002420716
171;gamma2_1;0.0031683836
172;gamma2_1;0.0027797176
173;gamma2_1;0.0025339548
174;gamma2_1;0.003175987
175;gamma2_1;0.002108803
176;gamma2_1;0.0028812145
177;gamma2_1;0.002035718
178;gamma2_1;0.002797649
179;gamma2_1;0.0019612918
180;gamma2_1;0.0025591962
181;gamma2_1;0.0026581935
182;gamma2_1;0.0021627618
183;gamma2_1;0.0028428626
184;gamma2_1;0.0029050827
185;gamma2_1;0.0024660362
186;gamma2_1;0.0028352577
187;gamma2_1;0.0027588343
188;gamma2_1;0.0022170118
189;gamma2_1;0.0025046982
190;gamma2_1;0.0023499026
191;gamma2_1;0.0030092916
192;gamma2_1;0.0020707634
193;gamma2_1;0.0027199732
194;gamma2_1;0.0023927533
195;gamma2_1;0.003054721
196;gamma2_1;0.0024069275
197;gamma2_1;0.0015666579
198;gamma2_1;0.0023719538
199;gamma2_1;0.002695503
200;gamma2_2;19.247858
201;gamma2_2;16.233194
202;gamma2_2;19.478624
203;gamma2_2;14.532965
204;gamma2_2;17.196863
205;gamma2_2;20.559843
206;gamma2_2;15.3804
207;gamma2_2;19.831852
208;gamma2_2;19.926655
209;gamma2_2;17.393618
210;gamma2_2;22.109816
211;gamma2_2;14.900647
212;gamma2_2;19.82497
213;gamma2_2;17.176434
214;gamma2_2;22.701454
215;gamma2_2;19.15302
216;gamma2_2;24.919785
217;gamma2_2;32.105267
218;gamma2_2;21.386755
219;gamma2_2;17.64837
220;gamma2_2;19.04203
221;gamma2_2;21.43389
222;gamma2_2;21.648651
223;gamma2_2;24.227821
224;gamma2_2;17.209158
225;gamma2_2;20.447634
226;gamma2_2;16.563171
227;gamma2_2;17.300598
228;gamma2_2;15.945701
229;gamma2_2;26.411995
230;gamma2_2;21.064186
231;gamma2_2;22.883629
232;gamma2_2;15.781404
233;gamma2_2;21.295315
234;gamma2_2;15.940295
235;gamma2_2;25.497051
236;gamma2_2;23.972342
237;gamma2_2;20.027061
238;gamma2_2;24.411213
239;gamma2_2;17.969776
240;gamma2_2;17.152935
241;gamma2_2;20.643642
242;gamma2_2;22.825062
243;gamma2_2;24.613102
244;gamma2_2;21.658398
245;gamma2_2;19.226135
246;gamma2_2;20.763638
247;gamma2_2;17.062204
248;gamma2_2;14.842769
249;gamma2_2;23.432352
250;sigma2;0.0010310585
251;sigma2;0.0010152215
252;sigma2;0.0009734277
253;sigma2;0.00095499546
254;sigma2;0.0010342239
255;sigma2;0.000987591
256;sigma2;0.0009804332
257;sigma2;0.0010482986
258;sigma2;0.0009838842
259;sigma2;0.0010408639
260;sigma2;0.0010732227
261;sigma2;0.0010399437
262;sigma2;0.0010649973
263;sigma2;0.0009195055
264;sigma2;0.00092929485
265;sigma2;0.0010417253
266;sigma2;0.0009652154
267;sigma2;0.0009776358
268;sigma2;0.0010442579
269;sigma2;0.0009878783
270;sigma2;0.0009820005
271;sigma2;0.0009512062
272;sigma2;0.0010139963
273;sigma2;0.0010439376
274;sigma2;0.000999815
275;sigma2;0.0010277103
276;sigma2;0.0009343098
277;sigma2;0.0009819762
278;sigma2;0.00095469505
279;sigma2;0.0010563968
280;sigma2;0.0010158618
281;sigma2;0.000991298
282;sigma2;0.0010354589
283;sigma2;0.0009838402
284;sigma2;0.0010322258
285;sigma2;0.0010176891
286;sigma2;0.0010094602
287;sigma2;0.0010116394
288;sigma2;0.0010182417
289;sigma2;0.0009529732
290;sigma2;0.00096165354
291;sigma2;0.0009812958
292;sigma2;0.0010115304
293;sigma2;0.0010448118
294;sigma2;0.0009804522
295;sigma2;0.000986561
296;sigma2;0.0010040957
297;sigma2;0.0009872422
298;sigma2;0.00095919817
299;sigma2;0.0009931702
300;alpha;-2.761682
301;alpha;-7.339745
302;alpha;-10.3253765
303;alpha;-4.147207
304;alpha;-2.938374
305;alpha;1.8455745
306;alpha;-1.4356327
307;alpha;-1.6124898
308;alpha;-1.2382513
309;alpha;-0.46827704
310;alpha;-2.181992
311;alpha;-2.0869577
312;alpha;-2.5807118
313;alpha;-5.2397633
314;alpha;-7.964172
315;alpha;-2.4256139
316;alpha;0.43320376
317;alpha;0.7068685
318;alpha;0.8702613
319;alpha;3.779304
320;alpha;-0.14627635
321;alpha;-3.5551822
322;alpha;-2.915993
323;alpha;-1.7843981
324;alpha;-0.9839267
325;alpha;-1.0611322
326;alpha;-5.6309986
327;alpha;1.2364768
328;alpha;-5.2014728
329;alpha;-0.8134917
330;alpha;-0.047519825
331;alpha;-3.7011626
332;alpha;-0.82946813
333;alpha;-4.6842155
334;alpha;-2.013842
335;alpha;0.7987933
336;alpha;3.2078478
337;alpha;-1.1382328
338;alpha;-3.5357895
339;alpha;-4.4230785
340;alpha;-2.9565911
341;alpha;-2.194235
342;alpha;0.64596945
343;alpha;0.19860514
344;alpha;1.309486
345;alpha;-4.0400977
346;alpha;-1.4557121
347;alpha;-4.813487
348;alpha;-3.360969
349;alpha;-3.048316
