;variable;value
0;mu1;0.3014427
1;mu1;0.2947541
2;mu1;0.29554576
3;mu1;0.30239704
4;mu1;0.29959106
5;mu1;0.29656357
6;mu1;0.2952978
7;mu1;0.29117185
8;mu1;0.29944456
9;mu1;0.30377147
10;mu1;0.31416833
11;mu1;0.2936031
12;mu1;0.30293152
13;mu1;0.30041504
14;mu1;0.29049253
15;mu1;0.29518527
16;mu1;0.30519953
17;mu1;0.292588
18;mu1;0.29657048
19;mu1;0.30078396
20;mu1;0.30075786
21;mu1;0.30168584
22;mu1;0.2940055
23;mu1;0.28887653
24;mu1;0.30058765
25;mu1;0.306671
26;mu1;0.29285663
27;mu1;0.3043088
28;mu1;0.2967428
29;mu1;0.30714124
30;mu1;0.3112702
31;mu1;0.3016835
32;mu1;0.31108883
33;mu1;0.30530155
34;mu1;0.30249262
35;mu1;0.3074829
36;mu1;0.29195952
37;mu1;0.29697484
38;mu1;0.29873884
39;mu1;0.29874027
40;mu1;0.29144886
41;mu1;0.29964334
42;mu1;0.30676934
43;mu1;0.3096936
44;mu1;0.3041168
45;mu1;0.3048738
46;mu1;0.2926829
47;mu1;0.2996238
48;mu1;0.30653596
49;mu1;0.29748678
50;mu2;90.34517
51;mu2;90.524
52;mu2;91.59699
53;mu2;89.855545
54;mu2;90.761086
55;mu2;90.01095
56;mu2;90.415596
57;mu2;89.794075
58;mu2;90.65428
59;mu2;89.78131
60;mu2;90.3887
61;mu2;89.74644
62;mu2;89.99589
63;mu2;89.87558
64;mu2;89.62057
65;mu2;90.30834
66;mu2;90.39707
67;mu2;90.37954
68;mu2;90.68572
69;mu2;89.43887
70;mu2;89.80848
71;mu2;90.85978
72;mu2;89.96796
73;mu2;89.539185
74;mu2;89.94122
75;mu2;90.61411
76;mu2;89.78236
77;mu2;89.67943
78;mu2;90.277306
79;mu2;90.666565
80;mu2;90.7354
81;mu2;90.57557
82;mu2;90.13574
83;mu2;90.38754
84;mu2;90.291695
85;mu2;89.96357
86;mu2;89.93318
87;mu2;89.61508
88;mu2;89.08066
89;mu2;89.338585
90;mu2;89.99637
91;mu2;89.9974
92;mu2;90.15667
93;mu2;89.3987
94;mu2;89.19334
95;mu2;90.217514
96;mu2;90.44354
97;mu2;90.546
98;mu2;88.99432
99;mu2;89.29275
100;mu3;7.1860147
101;mu3;7.4913692
102;mu3;7.8052306
103;mu3;7.6928186
104;mu3;7.392063
105;mu3;7.259162
106;mu3;7.3188066
107;mu3;7.4285674
108;mu3;7.621677
109;mu3;7.383397
110;mu3;7.423351
111;mu3;7.698963
112;mu3;7.458933
113;mu3;7.7610674
114;mu3;7.4622545
115;mu3;7.4140015
116;mu3;7.6848145
117;mu3;7.3266697
118;mu3;7.3614383
119;mu3;7.6987267
120;mu3;7.323342
121;mu3;7.804377
122;mu3;7.3395624
123;mu3;7.4408336
124;mu3;7.4868126
125;mu3;7.4884634
126;mu3;7.443864
127;mu3;7.6874566
128;mu3;7.4704494
129;mu3;7.6077886
130;mu3;7.6726623
131;mu3;7.275512
132;mu3;7.689804
133;mu3;7.678787
134;mu3;7.705804
135;mu3;7.5708647
136;mu3;7.5558996
137;mu3;7.444763
138;mu3;7.6058474
139;mu3;7.438767
140;mu3;7.223381
141;mu3;7.2985306
142;mu3;7.991419
143;mu3;7.389435
144;mu3;7.607235
145;mu3;7.776128
146;mu3;7.574396
147;mu3;7.6569724
148;mu3;7.4049406
149;mu3;7.5405498
150;gamma2_1;0.0023030879
151;gamma2_1;0.0031014408
152;gamma2_1;0.0028195763
153;gamma2_1;0.0019766781
154;gamma2_1;0.0031625726
155;gamma2_1;0.0022999605
156;gamma2_1;0.00208774
157;gamma2_1;0.0037929935
158;gamma2_1;0.0026948592
159;gamma2_1;0.0029604074
160;gamma2_1;0.0021197612
161;gamma2_1;0.0023416982
162;gamma2_1;0.002835597
163;gamma2_1;0.0028771032
164;gamma2_1;0.0027515264
165;gamma2_1;0.002247582
166;gamma2_1;0.0020045985
167;gamma2_1;0.0019072462
168;gamma2_1;0.0024180287
169;gamma2_1;0.0021070638
170;gamma2_1;0.0024424
171;gamma2_1;0.0031986106
172;gamma2_1;0.002766809
173;gamma2_1;0.0025545415
174;gamma2_1;0.003072134
175;gamma2_1;0.0021753067
176;gamma2_1;0.0029536318
177;gamma2_1;0.0019860438
178;gamma2_1;0.0026822898
179;gamma2_1;0.0020544208
180;gamma2_1;0.0024870483
181;gamma2_1;0.0026635535
182;gamma2_1;0.002207848
183;gamma2_1;0.0028668244
184;gamma2_1;0.0027652336
185;gamma2_1;0.0025567703
186;gamma2_1;0.0028554725
187;gamma2_1;0.0027219912
188;gamma2_1;0.0022652193
189;gamma2_1;0.0024995771
190;gamma2_1;0.0024072235
191;gamma2_1;0.0031214873
192;gamma2_1;0.0019404842
193;gamma2_1;0.0027591519
194;gamma2_1;0.002384555
195;gamma2_1;0.002978935
196;gamma2_1;0.002412716
197;gamma2_1;0.0014887253
198;gamma2_1;0.0022388967
199;gamma2_1;0.002567484
200;gamma2_2;20.657173
201;gamma2_2;17.486088
202;gamma2_2;20.621012
203;gamma2_2;15.692059
204;gamma2_2;17.809624
205;gamma2_2;16.877005
206;gamma2_2;18.816473
207;gamma2_2;18.902153
208;gamma2_2;19.375423
209;gamma2_2;17.953493
210;gamma2_2;22.86436
211;gamma2_2;14.6791725
212;gamma2_2;19.29856
213;gamma2_2;18.103958
214;gamma2_2;21.679316
215;gamma2_2;17.392633
216;gamma2_2;23.712727
217;gamma2_2;30.36043
218;gamma2_2;20.255135
219;gamma2_2;16.961529
220;gamma2_2;24.303917
221;gamma2_2;21.44291
222;gamma2_2;19.442478
223;gamma2_2;25.14656
224;gamma2_2;19.097769
225;gamma2_2;18.369219
226;gamma2_2;17.517698
227;gamma2_2;19.23126
228;gamma2_2;16.253683
