;variable;value
0;mu1;0.30404788
1;mu1;0.29438242
2;mu1;0.29437053
3;mu1;0.30024055
4;mu1;0.3024507
5;mu1;0.2970084
6;mu1;0.29620752
7;mu1;0.29136574
8;mu1;0.3003557
9;mu1;0.30480585
10;mu1;0.31293902
11;mu1;0.29340592
12;mu1;0.30254644
13;mu1;0.3002044
14;mu1;0.28982338
15;mu1;0.29566383
16;mu1;0.30499446
17;mu1;0.29516795
18;mu1;0.29865608
19;mu1;0.2995675
20;mu1;0.30123776
21;mu1;0.29922777
22;mu1;0.29575717
23;mu1;0.28903666
24;mu1;0.30048546
25;mu1;0.306737
26;mu1;0.29361507
27;mu1;0.30313233
28;mu1;0.29744384
29;mu1;0.3069195
30;mu1;0.3091218
31;mu1;0.30239868
32;mu1;0.3111949
33;mu1;0.30477625
34;mu1;0.30342284
35;mu1;0.30920994
36;mu1;0.2933047
37;mu1;0.29623353
38;mu1;0.29778963
39;mu1;0.29689136
40;mu1;0.2917061
41;mu1;0.30060658
42;mu1;0.3059689
43;mu1;0.30994496
44;mu1;0.30252823
45;mu1;0.30445945
46;mu1;0.29157567
47;mu1;0.2980854
48;mu1;0.30634165
49;mu1;0.29729337
50;mu2;90.57736
51;mu2;90.43774
52;mu2;91.32909
53;mu2;89.675125
54;mu2;90.965675
55;mu2;89.972374
56;mu2;90.471886
57;mu2;89.92529
58;mu2;90.818214
59;mu2;89.68732
60;mu2;90.421684
61;mu2;89.63391
62;mu2;90.107605
63;mu2;89.99448
64;mu2;89.507484
65;mu2;90.44986
66;mu2;90.42719
67;mu2;90.65796
68;mu2;90.65878
69;mu2;89.377144
70;mu2;89.89052
71;mu2;90.464005
72;mu2;89.90869
73;mu2;89.5723
74;mu2;89.733925
75;mu2;90.63147
76;mu2;90.0791
77;mu2;89.596176
78;mu2;90.29336
79;mu2;90.47659
80;mu2;90.54464
81;mu2;90.43404
82;mu2;90.09556
83;mu2;90.31251
84;mu2;90.27072
85;mu2;90.229866
86;mu2;90.07213
87;mu2;89.5071
88;mu2;88.98705
89;mu2;89.314125
90;mu2;90.0192
91;mu2;90.13649
92;mu2;90.03872
93;mu2;89.39327
94;mu2;88.98887
95;mu2;90.3216
96;mu2;90.2135
97;mu2;90.50766
98;mu2;88.80884
99;mu2;89.28091
100;mu3;7.351636
101;mu3;7.4753594
102;mu3;7.7017684
103;mu3;7.566532
104;mu3;7.5346775
105;mu3;7.276585
106;mu3;7.333079
107;mu3;7.387562
108;mu3;7.6680784
109;mu3;7.4211073
110;mu3;7.427838
111;mu3;7.67949
112;mu3;7.482917
113;mu3;7.7220974
114;mu3;7.405039
115;mu3;7.440846
116;mu3;7.6707907
117;mu3;7.480497
118;mu3;7.50562
119;mu3;7.6494794
120;mu3;7.320957
121;mu3;7.618245
122;mu3;7.453911
123;mu3;7.465637
124;mu3;7.4714704
125;mu3;7.481425
126;mu3;7.4489446
127;mu3;7.6350746
128;mu3;7.5276766
129;mu3;7.6413527
130;mu3;7.5642614
131;mu3;7.304609
132;mu3;7.6826897
133;mu3;7.6677094
134;mu3;7.7720428
135;mu3;7.6537523
136;mu3;7.6394725
137;mu3;7.4060555
138;mu3;7.520893
139;mu3;7.3424473
140;mu3;7.264516
141;mu3;7.3302126
142;mu3;7.9436913
143;mu3;7.4034367
144;mu3;7.4716663
145;mu3;7.7782893
146;mu3;7.4971313
147;mu3;7.546468
148;mu3;7.3818917
149;mu3;7.5402856
150;gamma2_1;0.0023208358
151;gamma2_1;0.0031844059
152;gamma2_1;0.0028104582
153;gamma2_1;0.0019170863
154;gamma2_1;0.0032613908
155;gamma2_1;0.0021698442
156;gamma2_1;0.0020476351
157;gamma2_1;0.003582891
158;gamma2_1;0.0027250466
159;gamma2_1;0.0029711663
160;gamma2_1;0.0023509243
161;gamma2_1;0.0022539552
162;gamma2_1;0.0029974536
163;gamma2_1;0.002924718
164;gamma2_1;0.0027157709
165;gamma2_1;0.0024178815
166;gamma2_1;0.002021946
167;gamma2_1;0.0018194763
168;gamma2_1;0.0025351546
169;gamma2_1;0.0021259468
170;gamma2_1;0.0023129208
171;gamma2_1;0.003147055
172;gamma2_1;0.0028084144
173;gamma2_1;0.002569732
174;gamma2_1;0.0031762866
175;gamma2_1;0.0020771
176;gamma2_1;0.0029414436
177;gamma2_1;0.0019630967
178;gamma2_1;0.0027841383
179;gamma2_1;0.002016212
180;gamma2_1;0.002490154
181;gamma2_1;0.0026556973
182;gamma2_1;0.002140936
183;gamma2_1;0.0030174204
184;gamma2_1;0.002816297
185;gamma2_1;0.0024849111
186;gamma2_1;0.0027965843
187;gamma2_1;0.0027825427
188;gamma2_1;0.0023183387
189;gamma2_1;0.0025252858
190;gamma2_1;0.002423287
191;gamma2_1;0.003022645
192;gamma2_1;0.0020165776
193;gamma2_1;0.0026984364
