;variable;value
0;mu1;0.30126902
1;mu1;0.2953098
2;mu1;0.29595172
3;mu1;0.30199632
4;mu1;0.29971185
5;mu1;0.29628235
6;mu1;0.29514068
7;mu1;0.29119933
8;mu1;0.29892018
9;mu1;0.303299
10;mu1;0.31374496
11;mu1;0.29269227
12;mu1;0.30320656
13;mu1;0.3006502
14;mu1;0.2905545
15;mu1;0.29516116
16;mu1;0.30549145
17;mu1;0.29232427
18;mu1;0.29694703
19;mu1;0.30111846
20;mu1;0.300423
21;mu1;0.3013519
22;mu1;0.29426286
23;mu1;0.28913504
24;mu1;0.3006849
25;mu1;0.3065606
26;mu1;0.2927847
27;mu1;0.30402654
28;mu1;0.29671398
29;mu1;0.30727914
30;mu1;0.31199288
31;mu1;0.30179673
32;mu1;0.31139976
33;mu1;0.30568013
34;mu1;0.30228224
35;mu1;0.30786824
36;mu1;0.29227495
37;mu1;0.29661852
38;mu1;0.2989626
39;mu1;0.29889616
40;mu1;0.29157004
41;mu1;0.29947993
42;mu1;0.30674666
43;mu1;0.30907747
44;mu1;0.30429173
45;mu1;0.30453745
46;mu1;0.29200605
47;mu1;0.29965776
48;mu1;0.3070785
49;mu1;0.29713988
50;mu2;90.28683
51;mu2;90.58584
52;mu2;91.62928
53;mu2;89.818375
54;mu2;90.72654
55;mu2;89.968575
56;mu2;90.40963
57;mu2;89.75932
58;mu2;90.60328
59;mu2;89.69004
60;mu2;90.37419
61;mu2;89.593376
62;mu2;90.023445
63;mu2;89.94503
64;mu2;89.59257
65;mu2;90.28973
66;mu2;90.41458
67;mu2;90.3277
68;mu2;90.68491
69;mu2;89.518005
70;mu2;89.81796
71;mu2;90.81499
72;mu2;90.04254
73;mu2;89.58442
74;mu2;89.89115
75;mu2;90.60904
76;mu2;89.77896
77;mu2;89.621506
78;mu2;90.28431
79;mu2;90.65016
80;mu2;90.74995
81;mu2;90.625206
82;mu2;90.17374
83;mu2;90.45192
84;mu2;90.25313
85;mu2;89.94616
86;mu2;89.95882
87;mu2;89.56631
88;mu2;89.07638
89;mu2;89.37733
90;mu2;90.04978
91;mu2;89.955536
92;mu2;90.117226
93;mu2;89.33494
94;mu2;89.207985
95;mu2;90.22368
96;mu2;90.371994
97;mu2;90.59512
98;mu2;89.04919
99;mu2;89.285965
100;mu3;7.1780767
101;mu3;7.538199
102;mu3;7.822304
103;mu3;7.6615143
104;mu3;7.402975
105;mu3;7.235632
106;mu3;7.3092756
107;mu3;7.428631
108;mu3;7.5871887
109;mu3;7.3498144
110;mu3;7.409034
111;mu3;7.634601
112;mu3;7.471257
113;mu3;7.7740583
114;mu3;7.45438
115;mu3;7.4061675
116;mu3;7.699355
117;mu3;7.298766
118;mu3;7.3851166
119;mu3;7.7135205
120;mu3;7.3108854
121;mu3;7.7820387
122;mu3;7.354961
123;mu3;7.4528923
124;mu3;7.495908
125;mu3;7.4800544
126;mu3;7.424522
127;mu3;7.6666474
128;mu3;7.4691353
129;mu3;7.617673
130;mu3;7.6989775
131;mu3;7.2824664
132;mu3;7.710968
133;mu3;7.70339
134;mu3;7.692211
135;mu3;7.5938253
136;mu3;7.5671835
137;mu3;7.4198637
138;mu3;7.6131363
139;mu3;7.446921
140;mu3;7.2378755
141;mu3;7.2995634
142;mu3;7.986626
143;mu3;7.356322
144;mu3;7.611884
145;mu3;7.754514
146;mu3;7.5158544
147;mu3;7.666838
148;mu3;7.4337697
149;mu3;7.520621
150;gamma2_1;0.0023371873
151;gamma2_1;0.0031511358
152;gamma2_1;0.0028731942
153;gamma2_1;0.0020073303
154;gamma2_1;0.003163337
155;gamma2_1;0.002280283
156;gamma2_1;0.0020775949
157;gamma2_1;0.0037553704
158;gamma2_1;0.002689265
159;gamma2_1;0.0029961239
160;gamma2_1;0.002132689
161;gamma2_1;0.002294581
162;gamma2_1;0.0028275086
163;gamma2_1;0.0028691008
164;gamma2_1;0.0027870347
165;gamma2_1;0.0022312456
166;gamma2_1;0.0019898247
167;gamma2_1;0.0019174534
168;gamma2_1;0.0024339277
169;gamma2_1;0.002096147
170;gamma2_1;0.0024465495
171;gamma2_1;0.0031754654
172;gamma2_1;0.0027699948
173;gamma2_1;0.0025461335
174;gamma2_1;0.0030980564
175;gamma2_1;0.0021777584
176;gamma2_1;0.0029411097
177;gamma2_1;0.0019975377
178;gamma2_1;0.0026786237
179;gamma2_1;0.0020514394
180;gamma2_1;0.0025140946
181;gamma2_1;0.0026670408
182;gamma2_1;0.0022275413
183;gamma2_1;0.0028532194
184;gamma2_1;0.0027405096
185;gamma2_1;0.002556699
186;gamma2_1;0.0028594318
187;gamma2_1;0.0027431562
188;gamma2_1;0.002248519
189;gamma2_1;0.0024942993
190;gamma2_1;0.002392251
191;gamma2_1;0.0031201793
192;gamma2_1;0.0019661023
193;gamma2_1;0.0027853944
194;gamma2_1;0.0023928834
195;gamma2_1;0.003013377
196;gamma2_1;0.0024124482
197;gamma2_1;0.001516328
198;gamma2_1;0.0022346666
199;gamma2_1;0.0026201268
200;gamma2_2;20.158613
201;gamma2_2;17.50177
202;gamma2_2;20.81898
203;gamma2_2;16.050064
204;gamma2_2;17.565025
205;gamma2_2;16.901667
206;gamma2_2;18.763985
