;variable;value
0;mu1;0.3040179
1;mu1;0.29477185
2;mu1;0.29498997
3;mu1;0.2998327
4;mu1;0.30304492
5;mu1;0.29711637
6;mu1;0.2966546
7;mu1;0.28965536
8;mu1;0.29993495
9;mu1;0.3044268
10;mu1;0.31261307
11;mu1;0.29456156
12;mu1;0.30208886
13;mu1;0.3009713
14;mu1;0.2905687
15;mu1;0.29606348
16;mu1;0.3048998
17;mu1;0.29374793
18;mu1;0.29865852
19;mu1;0.29994312
20;mu1;0.30012423
21;mu1;0.29952574
22;mu1;0.2954678
23;mu1;0.29048616
24;mu1;0.30003065
25;mu1;0.3076656
26;mu1;0.2933953
27;mu1;0.30226517
28;mu1;0.29595113
29;mu1;0.30713937
30;mu1;0.30985096
31;mu1;0.30220327
32;mu1;0.3111671
33;mu1;0.30518284
34;mu1;0.30259588
35;mu1;0.30861682
36;mu1;0.29316846
37;mu1;0.2960016
38;mu1;0.29756132
39;mu1;0.2979867
40;mu1;0.29186836
41;mu1;0.3004038
42;mu1;0.3060969
43;mu1;0.30982572
44;mu1;0.301762
45;mu1;0.3049135
46;mu1;0.29178324
47;mu1;0.29848492
48;mu1;0.30597106
49;mu1;0.2969347
50;mu2;90.60241
51;mu2;90.4283
52;mu2;91.38608
53;mu2;89.65094
54;mu2;91.022644
55;mu2;89.99223
56;mu2;90.52521
57;mu2;89.84608
58;mu2;90.77599
59;mu2;89.716156
60;mu2;90.36274
61;mu2;89.74116
62;mu2;90.02769
63;mu2;90.12007
64;mu2;89.58267
65;mu2;90.41309
66;mu2;90.42684
67;mu2;90.5341
68;mu2;90.6751
69;mu2;89.4023
70;mu2;89.796074
71;mu2;90.444725
72;mu2;89.864456
73;mu2;89.62757
74;mu2;89.71882
75;mu2;90.68456
76;mu2;90.03431
77;mu2;89.54548
78;mu2;90.1564
79;mu2;90.44834
80;mu2;90.63703
81;mu2;90.45179
82;mu2;90.1277
83;mu2;90.39858
84;mu2;90.11928
85;mu2;90.218895
86;mu2;90.03133
87;mu2;89.54209
88;mu2;89.00135
89;mu2;89.44848
90;mu2;90.0984
91;mu2;90.10192
92;mu2;90.015396
93;mu2;89.43146
94;mu2;89.01039
95;mu2;90.33721
96;mu2;90.23729
97;mu2;90.55606
98;mu2;88.84849
99;mu2;89.2694
100;mu3;7.362454
101;mu3;7.512022
102;mu3;7.751787
103;mu3;7.5525875
104;mu3;7.559075
105;mu3;7.278289
106;mu3;7.3685265
107;mu3;7.290035
108;mu3;7.6445446
109;mu3;7.4104095
110;mu3;7.4141226
111;mu3;7.7365265
112;mu3;7.453516
113;mu3;7.780422
114;mu3;7.446583
115;mu3;7.48075
116;mu3;7.6626997
117;mu3;7.403886
118;mu3;7.519499
119;mu3;7.6863375
120;mu3;7.293215
121;mu3;7.6589737
122;mu3;7.4459863
123;mu3;7.5484824
124;mu3;7.455476
125;mu3;7.54025
126;mu3;7.4399276
127;mu3;7.5908613
128;mu3;7.45182
129;mu3;7.6479826
130;mu3;7.6009054
131;mu3;7.3034725
132;mu3;7.677667
133;mu3;7.69888
134;mu3;7.750869
135;mu3;7.6212854
136;mu3;7.6291046
137;mu3;7.403555
138;mu3;7.508646
139;mu3;7.399539
140;mu3;7.2681007
141;mu3;7.3112273
142;mu3;7.9641247
143;mu3;7.3909054
144;mu3;7.4762497
145;mu3;7.8158956
146;mu3;7.5138655
147;mu3;7.5665665
148;mu3;7.381068
149;mu3;7.538409
150;gamma2_1;0.0022881438
151;gamma2_1;0.003198991
152;gamma2_1;0.0029429346
153;gamma2_1;0.0018339626
154;gamma2_1;0.0032069013
155;gamma2_1;0.0021552106
156;gamma2_1;0.0020739897
157;gamma2_1;0.003484794
158;gamma2_1;0.0027128644
159;gamma2_1;0.0029502735
160;gamma2_1;0.0023951568
161;gamma2_1;0.0022719097
162;gamma2_1;0.002986594
163;gamma2_1;0.0028862474
164;gamma2_1;0.002698045
