"";"genotype";"semis";"sampling";"sampling_days";"id";"digestibilite"
"97";"F271";"date 3";"7B";45;"32";NA
"98";"F271";"date 3";"6B";35;"32";53,1492476588369
"99";"F271";"date 3";"5A";28;"32";56,4748164241263
"100";"F271";"date 3";"8B";56;"32";45,3123663823525
"101";"F271";"date 3";"3";14;"32";60,1316781679278
"102";"F271";"date 3";"6A";35;"32";52,0047086682205
"103";"F271";"date 3";"8A";56;"32";49,6003484539401
"104";"F271";"date 3";"2";4;"32";63,2157075866129
"105";"F271";"date 3";"1";0;"32";62,9583705902753
"106";"F271";"date 3";"4";21;"32";55,5277155056512
"107";"F271";"date 3";"5B";28;"32";51,5113902527371
"108";"F271";"date 3";"7A";45;"32";49,7526515525626
"109";"G18-F318";"date 1";"7B";45;"9";52,9535860975558
"110";"G18-F318";"date 1";"6B";35;"9";54,8911142980454
"111";"G18-F318";"date 1";"5A";28;"9";57,480203433376
"112";"G18-F318";"date 1";"8B";56;"9";49,7126184801405
"113";"G18-F318";"date 1";"3";14;"9";54,8689047006153
"114";"G18-F318";"date 1";"6A";35;"9";56,4934186971714
"115";"G18-F318";"date 1";"8A";56;"9";50,204698661774
"116";"G18-F318";"date 1";"2";4;"9";58,6434522558081
"117";"G18-F318";"date 1";"1";0;"9";54,0834583444479
"118";"G18-F318";"date 1";"4";21;"9";54,2695226210087
"119";"G18-F318";"date 1";"5B";28;"9";52,8031490319945
"120";"G18-F318";"date 1";"7A";45;"9";52,8529960092822
"121";"G18-F318";"date 2";"7B";45;"23";52,7532062021615
"122";"G18-F318";"date 2";"6B";35;"23";57,5014957187708
"123";"G18-F318";"date 2";"5A";28;"23";54,5304095499707
"124";"G18-F318";"date 2";"8B";56;"23";45,5124126133338
"125";"G18-F318";"date 2";"3";14;"23";52,7539016895881
"126";"G18-F318";"date 2";"6A";35;"23";54,6326124990388
"127";"G18-F318";"date 2";"8A";56;"23";45,5115504006359
"128";"G18-F318";"date 2";"2";4;"23";60,8593511361962
"129";"G18-F318";"date 2";"1";0;"23";61,524655445577
"130";"G18-F318";"date 2";"4";21;"23";54,3684115921565
"131";"G18-F318";"date 2";"5B";28;"23";55,4175834319934
"132";"G18-F318";"date 2";"7A";45;"23";49,892283796302
"133";"G18-F318";"date 3";"7B";45;"37";53,8200754546562
"134";"G18-F318";"date 3";"6B";35;"37";55,6987356212008
"135";"G18-F318";"date 3";"5A";28;"37";56,8747586570727
"136";"G18-F318";"date 3";"8B";56;"37";50,2512265971598
"137";"G18-F318";"date 3";"3";14;"37";58,8693069279396
"138";"G18-F318";"date 3";"6A";35;"37";53,5620867781126
"139";"G18-F318";"date 3";"8A";56;"37";53,3292112685672
"140";"G18-F318";"date 3";"2";4;"37";63,3380774927896
"141";"G18-F318";"date 3";"1";0;"37";61,7929112606347
