"";"genotype";"semis";"sampling";"sampling_days";"id";"digestibilite"
"467";"B73";"date 3";"5B";28;"29";55,9905450493445
"468";"B73";"date 3";"7A";45;"29";54,9801393511882
"469";"F918";"date 1";"7B";45;"8";49,3245261556908
"470";"F918";"date 1";"6B";35;"8";53,1780527552492
"471";"F918";"date 1";"5A";28;"8";55,4997736432707
"472";"F918";"date 1";"8B";56;"8";50,3486674072982
"473";"F918";"date 1";"3";14;"8";59,1372941982812
"474";"F918";"date 1";"6A";35;"8";54,3594771720654
"475";"F918";"date 1";"8A";56;"8";49,2826689900092
"476";"F918";"date 1";"2";4;"8";61,3972139211773
"477";"F918";"date 1";"1";0;"8";58,6519873728222
"478";"F918";"date 1";"4";21;"8";53,064194722587
"479";"F918";"date 1";"5B";28;"8";57,7140409090161
"480";"F918";"date 1";"7A";45;"8";51,9701441169696
"481";"F918";"date 2";"7B";45;"22";53,0249847626547
"482";"F918";"date 2";"6B";35;"22";53,359241758643
"483";"F918";"date 2";"5A";28;"22";53,3029182509776
"484";"F918";"date 2";"8B";56;"22";47,4588442416286
"485";"F918";"date 2";"3";14;"22";56,1646721447295
"486";"F918";"date 2";"6A";35;"22";53,6636108595369
"487";"F918";"date 2";"8A";56;"22";49,5755351078234
"488";"F918";"date 2";"2";4;"22";58,2671874781609
"489";"F918";"date 2";"1";0;"22";57,3276432866018
"490";"F918";"date 2";"4";21;"22";50,8574402456931
"491";"F918";"date 2";"5B";28;"22";51,8645598499749
"492";"F918";"date 2";"7A";45;"22";53,5119297850058
"493";"F918";"date 3";"7B";45;"36";52,1569383486479
"494";"F918";"date 3";"6B";35;"36";54,8516154860082
"495";"F918";"date 3";"5A";28;"36";55,088092597515
"496";"F918";"date 3";"8B";56;"36";48,6369620238536
"497";"F918";"date 3";"3";14;"36";59,2797602041373
"498";"F918";"date 3";"6A";35;"36";54,7271784655914
"499";"F918";"date 3";"8A";56;"36";50,425953316824
"500";"F918";"date 3";"2";4;"36";63,5649591250453
"501";"F918";"date 3";"1";0;"36";63,7563292444945
"502";"F918";"date 3";"4";21;"36";54,9967198698648
"503";"F918";"date 3";"5B";28;"36";53,3185007197336
"504";"F918";"date 3";"7A";45;"36";NA
