;variable;value
0;mu1;0.30422792
1;mu1;0.29468262
2;mu1;0.295038
3;mu1;0.29944307
4;mu1;0.30249545
5;mu1;0.2974307
6;mu1;0.29623482
7;mu1;0.29034656
8;mu1;0.29982245
9;mu1;0.30453426
10;mu1;0.31317276
11;mu1;0.29491046
12;mu1;0.30330142
13;mu1;0.3000834
14;mu1;0.29020107
15;mu1;0.2945091
16;mu1;0.3048339
17;mu1;0.29445204
18;mu1;0.29855734
19;mu1;0.29972205
20;mu1;0.30057496
21;mu1;0.29925406
22;mu1;0.29495698
23;mu1;0.29013306
24;mu1;0.30019283
25;mu1;0.30795807
26;mu1;0.29441318
27;mu1;0.30288202
28;mu1;0.29712087
29;mu1;0.30774894
30;mu1;0.308699
31;mu1;0.30158997
32;mu1;0.31117082
33;mu1;0.30503508
34;mu1;0.3022944
35;mu1;0.307807
36;mu1;0.29318693
37;mu1;0.29638955
38;mu1;0.29739434
39;mu1;0.2965424
40;mu1;0.29076567
41;mu1;0.30021113
42;mu1;0.30606607
43;mu1;0.30920327
44;mu1;0.30230922
45;mu1;0.3052217
46;mu1;0.29192016
47;mu1;0.29842696
48;mu1;0.3058859
49;mu1;0.29730448
50;mu2;90.603584
51;mu2;90.46402
52;mu2;91.38591
53;mu2;89.56091
54;mu2;90.83212
55;mu2;90.02532
56;mu2;90.47201
57;mu2;89.85643
58;mu2;90.76717
59;mu2;89.69003
60;mu2;90.38485
61;mu2;89.815704
62;mu2;90.13616
63;mu2;89.995316
64;mu2;89.53318
65;mu2;90.34959
66;mu2;90.39765
67;mu2;90.57074
68;mu2;90.666794
69;mu2;89.36983
70;mu2;89.829346
71;mu2;90.44133
72;mu2;89.87638
73;mu2;89.61009
74;mu2;89.71643
75;mu2;90.76266
76;mu2;90.15737
77;mu2;89.5466
78;mu2;90.19754
79;mu2;90.48735
80;mu2;90.56695
81;mu2;90.4312
82;mu2;90.0826
83;mu2;90.31432
84;mu2;90.111206
85;mu2;90.123184
86;mu2;90.081474
87;mu2;89.5267
88;mu2;88.9568
89;mu2;89.28228
90;mu2;90.02157
91;mu2;90.083664
92;mu2;89.97093
93;mu2;89.31775
94;mu2;89.02757
95;mu2;90.309875
96;mu2;90.25662
97;mu2;90.51077
98;mu2;88.78081
99;mu2;89.294304
100;mu3;7.339039
