;variable;value
289;beta_289;0.0
290;beta_290;0.0
291;beta_291;0.0
292;beta_292;0.0
293;beta_293;0.0
294;beta_294;0.0
295;beta_295;0.0
296;beta_296;0.0
297;beta_297;0.0
298;beta_298;0.0
299;beta_299;0.0
300;beta_300;0.0
301;beta_301;0.0
302;beta_302;0.0
303;beta_303;0.0
304;beta_304;0.0
305;beta_305;0.0
306;beta_306;0.0
307;beta_307;0.0
308;beta_308;0.0
309;beta_309;0.0
310;beta_310;0.0
311;beta_311;0.0
312;beta_312;0.0
313;beta_313;0.0
314;beta_314;0.0
315;beta_315;0.0
316;beta_316;0.0
317;beta_317;0.0
318;beta_318;0.0
319;beta_319;0.0
320;beta_320;0.0
321;beta_321;0.0
322;beta_322;0.0
323;beta_323;0.0
324;beta_324;0.0
325;beta_325;0.0
326;beta_326;0.0
327;beta_327;0.0
328;beta_328;0.0
329;beta_329;0.0
330;beta_330;0.0
331;beta_331;0.0
332;beta_332;0.0
333;beta_333;0.0
334;beta_334;0.0
335;beta_335;0.0
336;beta_336;0.06385346
337;beta_337;0.0
338;beta_338;0.0
339;beta_339;0.0
340;beta_340;0.0
341;beta_341;0.0
342;beta_342;0.0
343;beta_343;0.0
344;beta_344;0.0
345;beta_345;0.0
346;beta_346;0.0
347;beta_347;0.0
348;beta_348;0.0
349;beta_349;0.0
350;beta_350;0.0
351;beta_351;0.0
352;beta_352;0.0
353;beta_353;0.0
354;beta_354;0.0
355;beta_355;0.0
356;beta_356;0.0
357;beta_357;0.013493377
358;beta_358;0.0
359;beta_359;0.0
360;beta_360;0.0
361;beta_361;0.0
362;beta_362;0.0
363;beta_363;0.0
364;beta_364;0.0
365;beta_365;0.0
366;beta_366;0.0
367;beta_367;0.0
368;beta_368;0.0
369;beta_369;0.0
370;beta_370;0.0
371;beta_371;0.0
372;beta_372;0.0
373;beta_373;0.0
374;beta_374;0.0
375;beta_375;0.0
376;beta_376;0.0
377;beta_377;0.0
378;beta_378;0.0
379;beta_379;0.0
380;beta_380;0.0
381;beta_381;0.0
382;beta_382;0.0
383;beta_383;0.0
384;beta_384;0.0
385;beta_385;0.0
386;beta_386;0.0
387;beta_387;0.0
388;beta_388;0.0
389;beta_389;0.0
390;beta_390;0.0
391;beta_391;0.0
392;beta_392;0.0
393;beta_393;0.0
394;beta_394;0.0
395;beta_395;0.0
396;beta_396;0.0
397;beta_397;0.0
398;beta_398;0.0
399;beta_399;0.0
400;beta_400;0.0
401;beta_401;0.0
402;beta_402;0.0
403;beta_403;0.0
404;beta_404;0.0
405;beta_405;0.0
406;beta_406;0.0
407;beta_407;0.0
408;beta_408;0.0
409;beta_409;0.0
410;beta_410;0.0
411;beta_411;0.0
412;beta_412;0.0
413;beta_413;0.0
414;beta_414;0.0
415;beta_415;0.0
416;beta_416;0.0
417;beta_417;0.0
418;beta_418;0.0
419;beta_419;0.0
420;beta_420;0.0
421;beta_421;0.0
422;beta_422;0.0
423;beta_423;0.0
424;beta_424;0.0
425;beta_425;0.0
426;beta_426;0.0
427;beta_427;0.0
428;beta_428;0.0
429;beta_429;0.0
430;beta_430;0.0
431;beta_431;0.0
432;beta_432;0.0
433;beta_433;0.0
434;beta_434;0.0
435;beta_435;0.0
436;beta_436;0.0
437;beta_437;0.0
438;beta_438;0.0
439;beta_439;0.0
440;beta_440;0.0
441;beta_441;0.0
442;beta_442;0.0
443;beta_443;0.0
444;beta_444;0.0
445;beta_445;0.0
446;beta_446;0.0
447;beta_447;0.0
448;beta_448;0.0
449;beta_449;0.0
450;beta_450;0.0
451;beta_451;0.0
452;beta_452;0.0
453;beta_453;0.0
454;beta_454;0.0
455;beta_455;0.0
456;beta_456;0.0
457;beta_457;0.0
458;beta_458;0.0
459;beta_459;0.0
460;beta_460;0.0
461;beta_461;0.0
462;beta_462;0.0
463;beta_463;0.0
464;beta_464;0.0
465;beta_465;0.0
466;beta_466;0.0
467;beta_467;0.0
468;beta_468;0.0
469;beta_469;0.0
470;beta_470;0.0
471;beta_471;0.0
472;beta_472;0.0
473;beta_473;0.0
474;beta_474;0.0
475;beta_475;0.0
476;beta_476;0.0
477;beta_477;0.0
478;beta_478;0.0
479;beta_479;0.0
480;beta_480;0.0
481;beta_481;0.0
482;beta_482;0.0
483;beta_483;0.0
484;beta_484;0.0
485;beta_485;0.0
486;beta_486;0.0
487;beta_487;0.0
488;beta_488;0.0
489;beta_489;0.0
490;beta_490;0.0
491;beta_491;0.0
492;beta_492;0.0
493;beta_493;0.0
494;beta_494;0.0
495;beta_495;0.0
496;beta_496;0.0
497;beta_497;0.0
498;beta_498;0.0
499;beta_499;0.0
